id,code,label_en,label_de,parent_code,level
1,/29,social sciences,,,0
2,/23,natural sciences,,,0
3,/27,agricultural sciences,,,0
4,/31,humanities,,,0
5,/21,medical and health sciences,,,0
6,/25,engineering and technology,,,0
7,/29/97,political sciences,,/29,1
8,/29/101,sociology,,/29,1
9,/23/49,biological sciences,,/23,1
10,/29/91,economics and business,,/29,1
11,/27/81,"agriculture, forestry, and fisheries",,/27,1
12,/31/113,history and archaeology,,/31,1
13,/21/35,basic medicine,,/21,1
14,/31/111,"philosophy, ethics and religion",,/31,1
15,/21/39,clinical medicine,,/21,1
16,/29/95,other social sciences,,/29,1
17,/23/43,physical sciences,,/23,1
18,/23/47,computer and information sciences,,/23,1
19,/25/67,environmental engineering,,/25,1
20,/23/45,earth and related environmental sciences,,/23,1
21,/21/33,health sciences,,/21,1
22,/29/89,law,,/29,1
23,/23/53,chemical sciences,,/23,1
24,/25/73,"electrical engineering, electronic engineering, information engineering",,/25,1
25,/29/99,social geography,,/29,1
26,/25/61,industrial biotechnology,,/25,1
27,/27/87,veterinary sciences,,/27,1
28,/27/83,animal and dairy science,,/27,1
29,/25/75,mechanical engineering,,/25,1
30,/25/63,materials engineering,,/25,1
31,/31/109,arts,,/31,1
32,/23/51,mathematics,,/23,1
33,/25/59,other engineering and technologies,,/25,1
34,/29/93,psychology,,/29,1
35,/21/37,medical biotechnology,,/21,1
36,/25/69,nanotechnology,,/25,1
37,/25/77,civil engineering,,/25,1
38,/25/71,environmental biotechnology,,/25,1
39,/29/105,educational sciences,,/29,1
40,/31/107,languages and literature,,/31,1
41,/25/57,medical engineering,,/25,1
42,/27/79,agricultural biotechnology,,/27,1
43,/31/115,other humanities,,/31,1
44,/25/65,chemical engineering,,/25,1
45,/21/41,other medical sciences,,/21,1
46,/29/103,media and communications,,/29,1
47,/27/85,other agricultural sciences,,/27,1
48,/29/97/67681549,political transitions,,/29/97,2
49,/29/101/553,demography,,/29/101,2
50,/23/49/315,biochemistry,,/23/49,2
51,/29/91/521,economics,,/29/91,2
52,/27/81/30021,agriculture,,/27/81,2
53,/23/49/311,botany,,/23/49,2
54,/31/113/613,history,,/31/113,2
55,/21/35/161,physiology,,/21/35,2
56,/31/111/609,philosophy,,/31/111,2
57,/23/49/341,microbiology,,/23/49,2
58,/23/49/337,genetics,,/23/49,2
59,/23/49/335,ecology,,/23/49,2
60,/29/101/559,governance,,/29/101,2
61,/29/97/543,government systems,,/29/97,2
62,/21/39/695,gynaecology,,/21/39,2
63,/29/95/92131787,development studies,,/29/95,2
64,/21/39/697,obstetrics,,/21/39,2
65,/21/39/203,embryology,,/21/39,2
66,/23/49/313,cell biology,,/23/49,2
67,/23/49/349,developmental biology,,/23/49,2
68,/23/43/251,optics,,/23/43,2
69,/23/47/307,software,,/23/47,2
70,/29/101/555,industrial relations,,/29/101,2
71,/25/67/429,waste management,,/25/67,2
72,/23/43/257,astronomy,,/23/43,2
73,/23/45/291,geology,,/23/45,2
74,/21/35/151,anatomy and morphology,,/21/35,2
