id,organisation_id,project_id,name,short_name,country,city,role,activity_type,sme,ec_contribution,total_cost
561540,999978433,101083038,LUDWIG-MAXIMILIANS-UNIVERSITAET MUENCHEN,LMU MUENCHEN,DE,MUNCHEN,coordinator,HES,f,2000000.00,2000000.00
562089,999980470,101080085,FORSCHUNGSZENTRUM JULICH GMBH,FZJ,DE,JULICH,participant,REC,f,865040.00,865042.50
562090,953915752,101080085,ENGYS SRL,ENGYS,IT,Trieste,participant,PRC,t,483700.00,483700.00
562091,999977463,101080085,TECHNISCHE UNIVERSITAET MUENCHEN,TUM,DE,Muenchen,participant,HES,f,556808.75,556808.75
562092,999838753,101080085,TECHNISCHE UNIVERSITAT HAMBURG,TUHH,DE,HAMBURG,participant,HES,f,898175.00,898175.00
562093,924773848,101080085,POLYTECHNEIO KRITIS,TECHNICAL UNIVERSITY OF CRETE,EL,CHANIA,participant,HES,f,871832.00,871832.50
562094,880264331,101080085,PLANQC GMBH,,DE,GARCHING BEI MUNCHEN,participant,PRC,t,150000.00,150000.00
562095,999905101,101080085,UNIVERSITY OF HAMBURG,UHAM,DE,Hamburg,coordinator,HES,f,1109587.50,1109587.50
562096,999869114,101080085,UNIVERSITAET INNSBRUCK,UIBK,AT,Innsbruck,participant,HES,f,0.00,0.00
666860,896841728,190181387,BIOSIMULYTICS LIMITED,,IE,DUBLIN,coordinator,PRC,t,2499525.00,3570750.00
562575,884863004,101218381,QUOBLY,,FR,GRENOBLE,coordinator,PRC,t,2499455.00,0.00
562578,999866010,101171750,UNIVERSITY OF DURHAM,UNIVERSITY OF DURHAM,UK,DURHAM,coordinator,HES,f,1999876.00,1999876.25
562736,999991043,101221875,KOBENHAVNS UNIVERSITET,UCPH,DK,KOBENHAVN,coordinator,HES,f,2115405.00,2115405.00
563336,999850781,101171255,HUMBOLDT-UNIVERSITAET ZU BERLIN,UBER,DE,Berlin,coordinator,HES,f,2515938.00,2515938.00
564287,999853691,101130224,UNIVERSITAET MUENSTER,UM,DE,Muenster,participant,HES,f,512537.50,512537.50
564288,999991722,101130224,AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS,CSIC,ES,MADRID,participant,REC,f,365008.75,365008.75
564289,999874546,101130224,UNIVERSIDAD COMPLUTENSE DE MADRID,UCM,ES,MADRID,participant,HES,f,557937.50,557937.50
564290,999751938,101130224,THALES,THALES,FR,MEUDON,participant,PRC,f,564785.00,564785.00
564291,999997930,101130224,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE CNRS,CNRS,FR,PARIS,coordinator,REC,f,807967.50,807967.50
564292,999980373,101130224,CHALMERS TEKNISKA HOGSKOLA AB,,SE,GOTEBORG,participant,HES,f,629886.25,629886.25
564815,999979306,101067680,WEIZMANN INSTITUTE OF SCIENCE,WEIZMANN,IL,Rehovot,coordinator,HES,f,150000.00,0.00
564833,902939924,190118992,ALPINE QUANTUM TECHNOLOGIES GMBH,,AT,INNSBRUCK,coordinator,PRC,t,2500000.00,3656087.50
564835,892878890,190163802,QUANTWARE B.V.,,NL,Delft,coordinator,PRC,t,2499700.00,3796125.00
564946,999991043,101063763,KOBENHAVNS UNIVERSITET,UCPH,DK,KOBENHAVN,coordinator,HES,f,230774.40,0.00
565174,999981828,101248542,GOTTFRIED WILHELM LEIBNIZ UNIVERSITAET HANNOVER,LUH,DE,Hannover,coordinator,HES,f,150000.00,0.00
565202,999849908,101220131,UNIVERSITAT BAYREUTH,,DE,BAYREUTH,coordinator,HES,f,1493812.00,1493812.00
565219,999991334,101220228,KATHOLIEKE UNIVERSITEIT LEUVEN,KU Leuven,BE,LEUVEN,coordinator,HES,f,1500000.00,1500000.00
565381,895686555,101140087,NNG SZOFTVERFEJLESZTO ES KERESKEDELMI KFT,,HU,Budapest,participant,PRC,f,174375.00,697500.00
565382,934753693,101140087,METAPHACTS GMBH,,DE,Walldorf,participant,PRC,f,235937.50,943750.00
