id,publication_number,country,doc_number,kind,title,publication_date,publication_year,family_id,applicant_names,applicant_countries,cpc_codes,ipc_codes,filing_date
65606054,DE2455718A1,DE,2455718,A1,Flux quantum shift register store - designed for large quantities of binary information in digital computers,1976-05-26,1976,5931678,"HENN HORST DIPL ING; HENN,HORST,DIPL.-ING.",,{G11C19/32},,
90333060,JPH0996845A,JP,H0996845,A,QUANTUM COMPUTING UNIT AND QUANTUM CRYPTOGRAPHIC DEVICE,1997-04-08,1997,17244987,MITSUBISHI ELECTRIC CORP; MITSUBISHI ELECTRIC CORP,,"{H04L9/0858,B82Y10/00}",,
130731075,US5768297A,US,5768297,A,Method for reducing decoherence in quantum computer memory,1998-06-16,1998,24190944,LUCENT TECHNOLOGIES INC; LUCENT TECHNOLOGIES INC.,{US},"{H03M13/03,B82Y10/00,G06F11/1008,G06N10/70,H03M13/00,Y10S977/933,H03M13/03,B82Y10/00,G06F11/1008,G06N10/70,H03M13/00,Y10S977/933}",,
130749309,US5787236A,US,5787236,A,Graphical computer method for analyzing quantum systems,1998-07-28,1998,24336167,TUCCI ROBERT R; TUCCI; ROBERT R.,{US},"{B82Y10/00,G06F30/20,G06F2111/08,G06F30/20,B82Y10/00,G06F2111/08}",,
130755040,US5793091A,US,5793091,A,Parallel architecture for quantum computers using ion trap arrays,1998-08-11,1998,25081285,IBM; INTERNATIONAL BUSINESS MACHINES CORPORATION,{US},"{B82Y10/00,G06N10/40,G06N10/40,B82Y10/00}",,
130799377,US5838436A,US,5838436,A,Multi-purpose quantum computing,1998-11-17,1998,25242578,US AIR FORCE; THE UNITED STATES OF AMERICA AS REPRESENTED BY THE SECRETARY OF THE AIR FORCE,{US},"{B82Y10/00,G06N10/40,G06N10/40,B82Y10/00}",,
152115786,ZA988530B,ZA,988530,B,Quantum computer,1999-03-18,1999,3803551,UNISEARCH LTD; UNISEARCH LIMITED,,"{H10D30/402,B82Y10/00,G06N10/00,H10D48/3835,Y10S977/933,H10D30/00,G06N10/00,H10D30/43,H10D30/402,B82Y10/00,G06N10/00,Y10S977/933}",,
4805338,AU9146298A,AU,9146298,A,Quantum computer,1999-04-05,1999,25641449,QUCOR PTY LTD; QUCOR PTY LTD,,"{B82Y10/00,G06N10/20,G06N10/40,G06N10/20,G06N10/40}",,1998-09-17
4844352,AUPO926897A0,AU,PO926897,A0,Quantum computer,1997-10-09,1997,3803551,UNISEARCH LTD; UNISEARCH LTD.,,"{H10D30/402,B82Y10/00,G06N10/00,H10D48/3835,Y10S977/933,H10D30/00,G06N10/00,H10D30/43,H10D30/402,B82Y10/00,G06N10/00,Y10S977/933}",,1997-09-17
9420762,CA2304185A1,CA,2304185,A1,QUANTUM COMPUTER,1999-03-25,1999,3803551,UNISEARCH LTD; UNISEARCH LIMITED,{AU},"{H10D30/402,B82Y10/00,G06N10/00,H10D48/3835,Y10S977/933,H10D30/00,G06N10/00,H10D30/43,H10D30/402,B82Y10/00,G06N10/00,Y10S977/933}",,1998-09-17
9451639,CA2326187A1,CA,2326187,A1,OPTICAL METHOD FOR QUANTUM COMPUTING,1999-11-04,1999,22174682,UNIV JOHNS HOPKINS; THE JOHNS HOPKINS UNIVERSITY,{US},"{B82Y10/00,G06N10/20,G06N10/70,B82Y10/00,G06N10/20,G06N10/70,G06N10/70,G06N10/20}",,1999-04-26
69114329,EP0697737A1,EP,0697737,A1,Quantum dot computing elements,1996-02-21,1996,23119778,IBM; INTERNATIONAL BUSINESS MACHINES CORPORATION,{US},"{H03K17/51,B82Y10/00,G11C11/161,G11C13/06,G11C2216/08,H03K3/02,H10D62/814,H03K17/51,B82Y10/00,G11C11/161,G11C13/06,G11C2216/08,H03K3/02,H10D62/814}",,
97593066,JPH10254569A,JP,H10254569,A,QUANTUM COMPUTING ELEMENT AND QUANTUM COMPUTING UNIT,1998-09-25,1998,13433697,AGENCY IND SCIENCE TECHN; AGENCY OF IND SCIENCE & TECHNOL; FUKUMI TOSHIO,,"{B82Y10/00,G06N10/40,G06N10/40}",,
130060537,US5091980A,US,5091980,A,OPTICAL QUANTUM INTERFERENCE DEVICE/OPTICAL COMPUTER AND METHOD OF MODULATING LIGHT USING SAME,1992-02-25,1992,27311369,"HITACHI LTD; HITACHI, LTD.",{JP},"{B82Y20/00,B82Y10/00,G02F1/01708,G02F1/01716,G02F1/212,G02F1/225,G02F1/3517,H10D48/383,Y10S359/90,G02F1/01708,B82Y10/00,B82Y20/00,G02F1/01716,G02F1/212,G02F1/225,G02F1/3517,H10D48/383,Y10S359/90}",,
130900008,US5940193A,US,5940193,A,General purpose quantum computing,1999-08-17,1999,25242583,US AIR FORCE; THE UNITED STATES OF AMERICA AS REPRESENTED BY THE SECRETARY OF THE AIR FORCE,{US},"{B82Y10/00,G06N10/40,Y10S359/90,G06N10/40,B82Y10/00,Y10S359/90}",,
146698453,WO9914858A1,WO,9914858,A1,QUANTUM COMPUTER,1999-03-25,1999,3803551,"UNISEARCH LTD; UNISEARCH LIMITED; KANE, BRUCE","{AU,AU}","{H10D30/402,B82Y10/00,G06N10/00,H10D48/3835,Y10S977/933,H10D30/00,G06N10/00,H10D30/43,H10D30/402,B82Y10/00,G06N10/00,Y10S977/933}",,
146746773,WO9956392A2,WO,9956392,A2,OPTICAL METHOD FOR QUANTUM COMPUTING,1999-11-04,1999,22174682,UNIV JOHNS HOPKINS; THE JOHNS HOPKINS UNIVERSITY,{US},"{B82Y10/00,G06N10/20,G06N10/70,B82Y10/00,G06N10/20,G06N10/70,G06N10/70,G06N10/20}",,
69764997,EP1016216A1,EP,1016216,A1,QUANTUM COMPUTER,2000-07-05,2000,3803551,UNISEARCH LTD; UNISEARCH LIMITED,{AU},"{H10D30/402,B82Y10/00,G06N10/00,H10D48/3835,Y10S977/933,H10D30/00,G06N10/00,H10D30/43,H10D30/402,B82Y10/00,G06N10/00,Y10S977/933}",,
100713400,JP2000068495A,JP,2000068495,A,QUANTUM BIT ELEMENT STRUCTURE IN QUANTUM COMPUTER AND QUANTUM CORRELATION GATE ELEMENT STRUCTURE,2000-03-03,2000,16941751,RIKAGAKU KENKYUSHO; INST OF PHYSICAL & CHEMICAL RES,,"{B82Y10/00,G06N10/40,G06N10/40}",,
100960296,JP2000315654A,JP,2000315654,A,"FORMATION METHOD OF POSITION-CONTROLLED QUANTUM DOT OF NITRIDE SEMICONDUCTOR IN DROPLET EPITAXY, QUANTUM BIT ELEMENT STRUCTURE IN QUANTUM COMPUTER AND QUANTUM CORRELATION GATE ELEMENT STRUCTURE",2000-11-14,2000,14883933,RIKAGAKU KENKYUSHO; INST OF PHYSICAL & CHEMICAL RES,,"{B82Y10/00,G06N10/40,G06N10/40}",,
146746775,WO9956392A8,WO,9956392,A8,OPTICAL METHOD FOR QUANTUM COMPUTING,2000-06-29,2000,22174682,UNIV JOHNS HOPKINS; THE JOHNS HOPKINS UNIVERSITY,{US},"{B82Y10/00,G06N10/20,G06N10/70,B82Y10/00,G06N10/20,G06N10/70,G06N10/70,G06N10/20}",,
4263171,AU2844600A,AU,2844600,A,Quantum computation with quantum dots and terahertz cavity quantum electrodynamics,2000-07-03,2000,26809945,"UNIV CALIFORNIA; THE REGENTS OF THE UNIVERSITY OF CALIFORNIA,",,"{B82Y10/00,G06N10/20,G06N10/40,G06N10/40,G06N10/20}",,1999-12-15
