project_id,euroscivoc_id
101083038,54
101083038,69
101083038,319
101080085,69
101080085,794
101218381,380
101171750,115
101171750,381
101221875,148
101221875,380
101221875,796
101221875,818
101171255,818
101130224,109
101130224,143
101130224,330
101130224,351
101130224,809
101067680,351
190118992,69
190118992,313
190118992,796
190163802,796
101063763,329
101063763,818
101248542,330
101248542,350
101248542,818
101220131,82
101220131,131
101220131,330
101220131,402
101220131,471
101220228,472
101140087,69
101077479,351
101077479,796
101072578,79
101072578,109
101072578,338
101220349,503
101220349,815
101220349,852
101201542,351
101208926,145
101225708,387
101225708,392
101225708,803
101210745,863
101210745,864
101212204,815
101219354,377
101188457,95
101188457,796
101163938,796
101186889,176
101186889,330
101186889,380
101186889,521
101186889,796
101165667,808
101187539,380
101141410,111
101141410,318
101141410,348
101168820,136
101125822,305
101136269,54
101136269,506
101136269,509
101155036,148
101155036,808
101146918,72
101146918,378
101136414,330
101136414,380
101136414,796
101120296,69
101120296,378
101114623,506
101114623,881
101120422,69
101120422,377
101120422,387
101120422,567
101120422,818
101138580,350
101105985,312
101105985,387
101105985,392
101105985,836
101113619,69
101086733,111
101086733,127
101106454,143
101106454,196
101106454,809
101106454,818
101113946,69
101113946,351
101113946,796
101106492,380
101106492,402
101106492,818
101106492,1022
101108476,796
101093374,69
101119780,778
101119780,1022
101109934,373
101076898,378
101076898,796
101099697,796
101098717,128
101098717,313
101098717,351
101114899,387
101114899,796
101070549,82
101063362,111
101063362,353
101063362,503
101063362,900
190109269,305
101080173,176
101080173,377
101080173,449
101062995,330
101062995,781
101062995,799
101043851,330
101043851,796
101046911,148
101046911,329
101046911,330
101046911,348
101046911,796
101065295,111
101104947,307
101104947,348
101104947,379
101104947,796
101054751,146
101054751,348
101054751,472
101054751,774
101148998,305
101148998,348
101148998,796
101116169,378
101116169,387
101116169,490
101116169,796
101222086,387
101222086,796
101073355,387
101072316,387
101096435,387
101096435,392
101096435,1027
101202597,387
101202597,473
101119547,387
101119547,457
101060162,387
101096456,387
101077455,387
101145131,387
101189247,387
101213884,387
101068785,387
101068785,796
101087742,387
101124977,246
101124977,387
101161539,111
101161539,346
101161539,387
101161539,796
101212872,387
101212872,796
101115429,450
101041464,330
101041464,450
101057934,448
190113917,448
101098961,118
101098961,448
101197927,448
101171067,148
101171067,330
101171067,380
101171067,387
101171067,521
101097351,82
101097351,148
101097351,156
101097351,166
101161771,98
101153001,119
101153001,305
101040353,119
101161989,119
101161989,348
101220476,119
101220476,371
101088169,113
101088169,119
101088169,349
101205948,119
101205948,349
101198880,119
101198880,378
101222179,119
101210218,109
101210218,348
101077866,329
101077866,348
101131255,75
190145380,69
190145380,796
101201285,60
101178170,60
101178170,324
101178170,388
101076941,69
101076941,387
101125590,69
101125590,111
101169527,69
101169527,378
101169527,387
101169527,503
101199710,69
101199710,372
101199710,1015
101070144,69
101070144,796
101069446,54
101069446,69
101069446,387
101105486,378
101105486,381
101105486,808
101105486,860
101105486,918
101108284,796
101107602,371
101109258,31
101108006,375
101104792,808
101104792,893
101106243,170
101106243,860
101106243,892
101106809,471
101164102,318
101164102,402
101164102,808
101164102,859
101164102,860
101107713,110
101107713,471
101107713,809
101105208,82
101105208,533
101108573,808
101106874,371
101106874,506
101063234,22
101063234,111
101063234,115
101063234,215
101063234,863
101063316,69
101063316,119
101063316,796
101160588,86
101160588,111
101160588,318
101160588,387
101160588,796
101119442,23
101119442,53
101119442,318
101119442,348
101119442,783
190124924,69
101162852,318
101162852,380
101162852,809
101162852,866
101151760,22
101151760,378
101151760,808
101043686,22
101043686,378
101043686,808
101039756,22
101039756,808
101149523,22
101248573,318
101248573,348
101163627,22
101163627,305
101163627,378
101163627,623
101163627,808
101248749,22
101248749,72
101248749,329
190152156,22
190152156,796
101113690,69
101167287,69
101167287,375
101167287,381
101167287,918
101158022,69
190129990,69
101073486,69
101073486,348
101099538,69
101072344,69
101072344,111
101114305,69
101114305,796
101203938,323
101174557,69
101213305,69
101213305,377
101213305,796
101225722,69
101225722,387
101225722,615
101197255,69
101197255,348
101213371,69
101213371,796
101109293,69
101109293,796
101078107,69
101078107,503
101078107,668
101078107,796
101210678,69
101210678,796
101099430,69
101099430,796
101099430,836
101082596,111
101082596,387
101082596,803
101082596,818
101082596,1055
101188241,69
101188241,796
101097272,383
101097272,836
101106345,115
101106345,215
101106345,371
101106345,381
101106345,506
101151140,58
101151140,111
101151140,119
101151140,411
101151140,771
101117882,95
101117882,402
101117882,796
101170477,318
101170477,402
101148213,115
101148213,402
101208361,69
101208361,361
101208361,402
101213658,148
101213658,176
101213658,351
101213658,612
101213658,796
101042680,69
101042680,382
101042680,402
101200860,402
101096610,402
101096610,808
101096610,866
101207481,82
101207481,338
101207481,402
101207481,796
101098310,305
101098310,402
101205787,348
101205787,402
101168795,377
101168795,378
101168795,387
101168795,457
101218253,351
101218253,796
101105814,227
101105814,351
101115548,351
101115548,796
101078696,305
101078696,351
101078696,377
101078696,796
101078696,866
101165353,318
101165353,351
101165353,796
101165353,866
101087096,351
101087096,809
101152827,318
101152827,351
101152827,402
101152827,796
101115315,330
101115315,351
101115315,796
101113096,95
101113096,351
101113096,582
101113096,796
101125759,351
